               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030639,           0.0061589,           0.0019588,             0.97938,             0.99495,             0.99058,              0.5962,            0.028467,           0.0054895,          0.00046324,             0.00307,             0.00307,             0.00307
                  37,            0.030613,           0.0065951,           0.0023342,             0.96625,             0.96725,             0.98758,             0.58745,            0.027765,           0.0055382,           0.0023845,            0.002872,            0.002872,            0.002872
                  38,             0.03085,           0.0066474,           0.0027412,             0.98834,             0.99489,             0.99052,             0.57481,             0.02834,           0.0056216,          0.00060009,            0.002674,            0.002674,            0.002674
                  39,            0.030168,           0.0063533,           0.0022719,              0.9806,             0.97329,             0.99024,              0.5882,             0.02771,            0.005657,          0.00089207,            0.002476,            0.002476,            0.002476
                  40,            0.029716,           0.0067167,           0.0015042,             0.98058,             0.99217,             0.99057,             0.61489,            0.026529,           0.0054007,          0.00057208,            0.002278,            0.002278,            0.002278
                  41,            0.029188,           0.0061936,           0.0018186,             0.99119,             0.97751,             0.99061,               0.622,            0.026184,           0.0054897,           0.0006996,             0.00208,             0.00208,             0.00208
                  42,            0.028551,           0.0059831,           0.0018051,             0.98643,             0.97566,             0.99046,              0.5855,            0.029137,           0.0055776,            0.000874,            0.001882,            0.001882,            0.001882
                  43,            0.029006,           0.0064125,           0.0020268,             0.97951,             0.97123,             0.98412,             0.61611,            0.026754,           0.0054264,          0.00047942,            0.001684,            0.001684,            0.001684
                  44,            0.028763,           0.0061062,           0.0015859,             0.97717,             0.98368,             0.98238,             0.60991,            0.026365,           0.0052756,          0.00042453,            0.001486,            0.001486,            0.001486
                  45,            0.028203,           0.0063151,           0.0015605,             0.97934,             0.98213,               0.983,             0.61754,            0.026742,           0.0053427,          0.00026791,            0.001288,            0.001288,            0.001288
                  46,            0.027848,           0.0061095,             0.00276,              0.9747,              0.9725,             0.98394,             0.61288,            0.026429,           0.0054106,          0.00034425,             0.00109,             0.00109,             0.00109
                  47,            0.027851,           0.0061548,           0.0013078,             0.97838,             0.97335,             0.98326,             0.62893,            0.026288,           0.0053562,          0.00086486,            0.000892,            0.000892,            0.000892
                  48,            0.027686,            0.006107,           0.0014741,             0.97554,             0.97071,             0.98356,              0.6177,            0.025954,           0.0053033,            0.000804,            0.000694,            0.000694,            0.000694
                  49,            0.027301,             0.00633,            0.001242,             0.99018,             0.98398,             0.99061,             0.62445,            0.025895,           0.0053049,          0.00078712,            0.000496,            0.000496,            0.000496
